[Spectrum]		
IDData	DLAB_2012-07-27_19-10-40_447_776	
IDDevice	SAM_8404	
DateTime	2012-07-27 19:04:22	
IDDataType	SPECTRUM	
IDDataTypeSub1	BACK	
IDDataTypeSub2		
IDDataTypeSub3		
RecordType	0	
IDMethodType	SAM Calibration Station	
MethodName	SAM_Calibration_Station	
Latitude	0	
Longitude	0	
Comment		
CommentSub1		
CommentSub2		
CommentSub3		
Mission		
MissionSub	0	
		
[Attributes]		
CalFactor	1	
IDBasisSpec		
IDDataBack		
IDDataCal		
IntegrationTime	8192	
P31	-1	
P31e	0	
PathLength	+INF	
RAWDynamic	65535	
Temperature	+NAN	
Unit1	$05 $00 Pixel 	
Unit2	$03 $05 Intensity counts	
Unit3	$03 $05 Intensity counts	
Unit4	$f1 $00 Status 	
p999	0	
[END] of [Attributes]		
		
[Data]		
1	0.0191808058282205	0.0258151501140128
2	0.0190009913339308	0.0258094339135159
3	0.0190293750059845	0.0260313876631634
4	0.0191466448883631	0.0256510524270258
5	0.0190938261232501	0.0259460962470708
6	0.0190734723858463	0.025910566637826
7	0.0190365008031086	0.0255359999707234
8	0.0191018487298846	0.0255095379738529
9	0.0191010925484803	0.0257230033071576
10	0.0191028807587279	0.0257767933019571
11	0.0190745281435016	0.0256604089391687
12	0.0190969019704992	0.0258397296364999
13	0.0191039482063126	0.0256944381897965
14	0.0191182654037467	0.0258193018917144
15	0.0190889711385344	0.0259260572513999
16	0.0191026031665234	0.0259057967368129
17	0.0190929793885119	0.0255269993900778
18	0.0191039804844759	0.0257284325280656
19	0.0190844214877959	0.0259484573698925
20	0.0191103176475557	0.0259000908354618
21	0.0191005138097359	0.0257808969006036
22	0.0191230895061116	0.0256917867707118
23	0.0191127194918595	0.025890832427047
24	0.0191130054589388	0.0262397683605408
25	0.0191138132854045	0.0259532188919396
26	0.0191374576507008	0.0257082702917684
27	0.0191111115158967	0.0259218869701482
28	0.0191235269188436	0.026150692095637
29	0.0191101785897386	0.0258243346827889
30	0.0191218132100864	0.0259233801717316
31	0.0191167054088375	0.0257458255160674
32	0.019125015727317	0.025835656760729
33	0.0191030892582153	0.0256943496869671
34	0.0191309036132588	0.0256916635300855
35	0.0191027244277315	0.0256764192232025
36	0.0191285757470158	0.0260054373069103
37	0.0190984998268215	0.0257066919040296
38	0.0191082991282509	0.0256475088226134
39	0.0191094292129201	0.0257533870092855
40	0.0191279467590225	0.0257804999470847
41	0.019112774626452	0.0259093087455406
42	0.0191372618880022	0.0254327656969788
43	0.0191018520449392	0.0256316333002844
44	0.0191222155530302	0.0257004507962191
45	0.0191048636848148	0.0255650936611958
46	0.0191339389819463	0.025479831222361
47	0.019116093519547	0.0257287057172727
48	0.019126699077153	0.0257236236997724
49	0.0191279804329983	0.0256274645900888
50	0.0191437494498754	0.0257773791313368
51	0.0191256469835055	0.0255701336093038
52	0.0191394899536537	0.0258252106338698
53	0.0191206166498485	0.0260567722646431
54	0.0191352411005021	0.0254406928971548
55	0.0191196858174091	0.0259095808873769
56	0.0191498720067883	0.0259160955335182
57	0.0191189596459728	0.0255597646387574
58	0.0191410237770791	0.0257930638576253
59	0.0191239791620832	0.0258041275841107
60	0.01914060852287	0.0261516253029862
61	0.0191223607175269	0.0253849362891873
62	0.0191490095691599	0.0257900970053794
63	0.0191066667255699	0.0259927491083726
64	0.0191380547094838	0.0259173384134894
65	0.019124372781199	0.0255488529555943
66	0.0191482804316221	0.0256168320312338
67	0.019128759819785	0.0257123943141448
68	0.0191439637070892	0.0255794194239203
69	0.0191416745746422	0.0256427783725656
70	0.0191385927951901	0.0256661988047425
71	0.019133174076714	0.0257544584695753
72	0.0191537586466046	0.0256118832043821
73	0.019147878961061	0.0260124538182085
74	0.0191505203616796	0.0258536191693019
75	0.0191597897778009	0.0258193507690167
76	0.0191568341449006	0.0260035892212003
77	0.0191251165747678	0.0258335927420802
78	0.019132857576237	0.0257255004136166
79	0.0191443906512277	0.0257521935303019
80	0.0191719670202455	0.0258427712011935
81	0.0191236286386772	0.026003586951897
82	0.0191645931174553	0.0256176400777769
83	0.0191360972569745	0.0255047404920763
84	0.0191525334722111	0.0258238308974523
85	0.0191289634339287	0.025651950023769
86	0.0191417680940775	0.0255711417036625
87	0.0191395848689015	0.0256075729245718
88	0.019150249923014	0.0259376986028607
89	0.0191602976790626	0.0257479244470749
90	0.0191602535364933	0.025499375859032
91	0.0191590456352791	0.025778878442583
92	0.0191545343693835	0.0257350194427895
93	0.0191474139810327	0.0258191069061909
94	0.0191580896782153	0.0255937973806211
95	0.0191441783132561	0.0259749401396164
96	0.0191576791348732	0.0259160491000811
97	0.0191528510195475	0.0260588748614483
98	0.0191790307037148	0.0257259123794498
99	0.0191439797589326	0.0259198760182846
100	0.0191647541593188	0.0259278763598522
101	0.01914427950966	0.0257171588037423
102	0.019171213281513	0.0257737798417123
103	0.0191495736518734	0.0257867515286029
104	0.0191779564515443	0.0257348724617592
105	0.0191554470562608	0.0258079864471225
106	0.019171466970429	0.0259169735793406
107	0.0191583894289427	0.0258710200125844
108	0.0191666510684623	0.0261245474521075
109	0.019163178984949	0.025844071337433
110	0.0191796391034741	0.0256972711531466
111	0.0191555290602433	0.0256315194859949
112	0.0191655049319498	0.0258432814453165
113	0.0191642073497845	0.0259682437746479
114	0.0191683335459156	0.0257186443246068
115	0.0191630067765858	0.0260816427816403
116	0.0191845621340476	0.0259770455294104
117	0.0191564574500109	0.025553557221373
118	0.0191700064271581	0.0256658840698284
119	0.0191799966059424	0.0259833997532633
